Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
19,7305-21 TAMAN DESA IDAMAN,7305 TELADAN SETIA SDN. BHD.,7305-21/06-2016/01818(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.182778,102.165102",Alor Gajah,Melaka,Mula: 20 Jun 2015   Tamat: 19 Jun 2016,2025-12-16,2025-12-16 15:06:50
20,7305-20 TAMAN BELIMBING SETIA,7305 TELADAN SETIA SDN. BHD.,7305-20/12-2021/03555(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.320380,102.261536",Alor Gajah,Melaka,Mula: 31 Dis 2020   Tamat: 30 Dis 2021,2025-12-16,2025-12-16 15:06:50
21,7305-19 TAMAN KRUBONG INDAH,7305 TELADAN SETIA SDN. BHD.,7305-19/12-2015/02539(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 19 Dis 2014   Tamat: 18 Dis 2015,2025-12-16,2025-12-16 15:06:50
22,7305-18 TAMAN SAUJANA SEKSYEN 4,7305 TELADAN SETIA SDN. BHD.,7305-18/07-2015/01813(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 23 Jul 2014   Tamat: 22 Jul 2015,2025-12-16,2025-12-16 15:06:50
23,7305-17 TAMAN BELIMBING SETIA,7305 TELADAN SETIA SDN. BHD.,7305-17/08-2014/0705(P),Siap Dengan CCC,Berfasa,,Alor Gajah,Melaka,Mula: 17 Ogo 2013   Tamat: 16 Ogo 2014,2025-12-16,2025-12-16 15:06:50
24,7305-16 TAMAN BERTAM SETIA,7305 TELADAN SETIA SDN. BHD.,7305-16/04-2015/01566(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 02 Apr 2014   Tamat: 01 Apr 2015,2025-12-16,2025-12-16 15:06:50
25,7305-15 TAMAN DESA IDAMAN,7305 TELADAN SETIA SDN. BHD.,7305-15/1329/2012(07),Siap Dengan CCC,Berfasa,,Alor Gajah,Melaka,Mula: 19 Jul 2011   Tamat: 18 Jul 2012,2025-12-16,2025-12-16 15:06:50
26,7305-14 TAMAN SERI RAMBAI 1,7305 TELADAN SETIA SDN. BHD.,7305-14/1644/2012(09),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 22 Sep 2011   Tamat: 21 Sep 2012,2025-12-16,2025-12-16 15:06:50
27,7305-13 TAMAN BERTAM SETIA,7305 TELADAN SETIA SDN. BHD.,7305-13/06-2015/01689(P),Siap Dengan CCC,Berfasa,,Melaka Tengah,Melaka,Mula: 12 Jun 2014   Tamat: 11 Jun 2015,2025-12-16,2025-12-16 15:06:50
28,7305-12 TAMAN DESA IDAMAN,7305 TELADAN SETIA SDN. BHD.,7305-12/02-2017/01300(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.305937,102.279997",Alor Gajah,Melaka,Mula: 04 Feb 2016   Tamat: 03 Feb 2017,2025-12-16,2025-12-16 15:06:50
29,7305-11 TAMAN BERTAM SETIA,7305 TELADAN SETIA SDN. BHD.,7305-11/04-2016/01746(P),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 17 Apr 2015   Tamat: 16 Apr 2016,2025-12-16,2025-12-16 15:06:50
30,7305-10 TAMAN CHENG SETIA,7305 TELADAN SETIA SDN. BHD.,7305-10/1021/2010(06),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 21 Jun 2009   Tamat: 20 Jun 2010,2025-12-16,2025-12-16 15:06:50
31,7305-9 TAMAN CHENG SETIA,7305 TELADAN SETIA SDN. BHD.,7305-9/341/2012(03),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 15 Mac 2011   Tamat: 14 Mac 2012,2025-12-16,2025-12-16 15:06:50
32,7305-8 TAMAN SERI BAYAN,7305 TELADAN SETIA SDN. BHD.,7305-8/132/2007(02),Siap Dengan CFO,Berfasa,,Alor Gajah,Melaka,Mula: 18 Feb 2006   Tamat: 16 Feb 2007,2025-12-16,2025-12-16 15:06:50
33,7305-6 TAMAN BUKIT CHENG,7305 TELADAN SETIA SDN. BHD.,7305-6/131/2007(04),Siap Dengan CFO,Berfasa,,Melaka Tengah,Melaka,Mula: 25 Apr 2006   Tamat: 04 Apr 2007,2025-12-16,2025-12-16 15:06:50
